137,MHL,Marshall Islands,692
138,MTQ,Martinique,596
139,MRT,Mauritania,222
140,MUS,Mauritius,230
141,MYT,Mayotte,262
142,MEX,Mexico,52
143,FSM,Micronesia,691
144,MDA,Moldova,373
145,MCO,Monaco,377
146,MNG,Mongolia,976
147,MNE,Montenegro,382
148,MSR,Montserrat,-663
149,MAR,Morocco,212
150,MOZ,Mozambique,258
151,MMR,Myanmar,95
152,NAM,Namibia,264
153,NRU,Nauru,674
154,NPL,Nepal,977
155,ANT,Netherlands Antilles,0
156,NLD,Netherlands The,31
157,NCL,New Caledonia,687
158,NZL,New Zealand,64
159,NIC,Nicaragua,505
160,NER,Niger,227
161,NGA,Nigeria,234
162,NIU,Niue,683
163,NFK,Norfolk Island,672
164,MNP,Northern Mariana Islands,-669
165,NOR,Norway,47
166,OMN,Oman,968
167,PAK,Pakistan,92
168,PLW,Palau,680
169,PSE,Palestinian Territory Occupied,970
170,PAN,Panama,507
171,PNG,Papua new Guinea,675
172,PRY,Paraguay,595
173,PER,Peru,51
174,PHL,Philippines,63
175,PCN,Pitcairn Island,870
176,POL,Poland,48
177,PRT,Portugal,351
178,PRI,Puerto Rico,1939
179,QAT,Qatar,974
180,REU,Reunion,262
181,ROU,Romania,40
182,RUS,Russia,7
183,RWA,Rwanda,250
184,SHN,Saint Helena,290
185,KNA,Saint Kitts And Nevis,-868
186,LCA,Saint Lucia,-757
187,SPM,Saint Pierre and Miquelon,508
188,VCT,Saint Vincent And The Grenadines,-783
189,BLM,Saint-Barthelemy,590
190,MAF,Saint-Martin (French part),590
191,WSM,Samoa,685
192,SMR,San Marino,378
193,STP,Sao Tome and Principe,239
194,SAU,Saudi Arabia,966
195,SEN,Senegal,221
196,SRB,Serbia,381
197,SYC,Seychelles,248
198,SLE,Sierra Leone,232
199,SGP,Singapore,65
200,SVK,Slovakia,421
201,SVN,Slovenia,386
202,SLB,Solomon Islands,677
203,SOM,Somalia,252
204,ZAF,South Africa,27
205,SGS,South Georgia,0
206,SSD,South Sudan,211
207,ESP,Spain,34
208,LKA,Sri Lanka,94
209,SDN,Sudan,249
210,SUR,Suriname,597
211,SJM,Svalbard And Jan Mayen Islands,47
212,SWZ,Swaziland,268
213,SWE,Sweden,46
214,CHE,Switzerland,41
215,SYR,Syria,963
216,TWN,Taiwan,886
217,TJK,Tajikistan,992
218,TZA,Tanzania,255
219,THA,Thailand,66
220,TGO,Togo,228
221,TKL,Tokelau,690
222,TON,Tonga,676
223,TTO,Trinidad And Tobago,-867
224,TUN,Tunisia,216
225,TUR,Turkey,90
226,TKM,Turkmenistan,993
227,TCA,Turks And Caicos Islands,-648
228,TUV,Tuvalu,688
229,UGA,Uganda,256
230,UKR,Ukraine,380
231,ARE,United Arab Emirates,971
232,GBR,United Kingdom,44
233,USA,United States,1
234,UMI,United States Minor Outlying Islands,1
235,URY,Uruguay,598
236,UZB,Uzbekistan,998
237,VUT,Vanuatu,678
238,VAT,Vatican City State (Holy See),379
239,VEN,Venezuela,58
240,VNM,Vietnam,84
241,VGB,Virgin Islands (British),-283
242,VIR,Virgin Islands (US),-339
243,WLF,Wallis And Futuna Islands,681
244,ESH,Western Sahara,212
245,YEM,Yemen,967
246,ZMB,Zambia,260
247,ZWE,Zimbabwe,263
